iter	MultiClass
0	2.364735917
1	2.330797691
2	2.294293115
3	2.256583693
4	2.22045342
5	2.199276375
6	2.175414371
7	2.150508769
8	2.127604421
9	2.101876519
10	2.077633497
11	2.05455475
12	2.0304611
13	2.011197295
14	1.990551966
15	1.966932386
16	1.948119368
17	1.930628151
18	1.909719382
19	1.892621032
20	1.872710949
21	1.851895142
22	1.83271598
23	1.818141596
24	1.801482006
25	1.785593016
26	1.769550983
27	1.754104609
28	1.739884105
29	1.723611736
30	1.707218352
31	1.690356842
32	1.677311559
33	1.661011442
34	1.647960503
35	1.633295636
36	136	1.62383137	137	1.61163738	138	1.59794439	39	1.583511240	40	1.566518041	41	1.555014642	1.542147538
43	1.529383745
4444	1.5177886045	1.504768573
4646	1.49390567447	1.481451116448	1.469405279449	1.456283322
50	1.446884836551	1.436231003
52	1.424979318553	1.414883046554	1.404788672555	1.396014305
56	1.38620071
57	1.378138467
58	1.369085567
59	1.359750737
60	1.350882996661	1.339961326662	1.327731104663	1.318886236664	1.309597685665	1.299782811666	1.288394296667	1.276921543
68	1.267879838
69	1.257619070	70	1.246781871	71	1.237389972	72	1.227117773	73	1.221160774	74	1.211780461
75	1.20394976	176	1.19487377	177	1.18688178	78	1.179031379	79	1.169955280	80	1.163275281881	1.155640182	82	1.147098883	1.1490084	1.84	84	1.130958685	85	1.1286	1.88686	1.1187	1.87	1.113171828
88	1.103694711
89	1.0960790	90	1.90	1.0833791	1.078630366
92	1.070290938
93	1.060902155
94	1.0532629
95	1.045094853
96	1.036012839
97	1.028837878
98	1.020637159
99	1.012627748
100	1.00527694
101	0.9959769461
102	0.9874153328
103	0.9807990635
104	0.9738701178
105	0.9661746499
106	0.959253833
107	0.9508300942
108	0.9422898096
109	0.9345588526
110	0.9267429279
111	0.9190670512
112	0.9120054691
113	0.9047183108
114	0.8974323603
115	0.8911936221
116	0.8840953077
117	0.8777609795
118	0.8726515303
119	0.8654102085
120	0.858961747
121	0.8517730687
122	0.8450319867
123	0.8380836975
124	0.8304089813
125	0.8247257219
126	0.8188160183
127	0.8139544593
128	0.8079466772
129	0.8008965718
130	0.795030298
131	0.7882230622
132	0.7820822155
133	0.7751273764
134	0.7684460698
135	0.7623389626
